Sreet name,nearest metro station distance(in km),type of road,crime,nearest police chowki,population density,rape,Kidnapping & Abduction_Total,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,district,safety
,,,,,,,,,,,,,,,
akbar road,1.2,major district road,857,2.5,582320,91,305,212,54,9,26,123,37,central,3
aruna asaf ali marg,5.1,district road,2005,17.4,2292958,234,719,494,86,57,99,248,68,south west,2
ashram chowk,5.7,major district road,2008,2.7,2292958,266,683,469,85,34,74,274,123,south west,1
bahadur shah zafar marg,0.27,major district road,857,2.6,582320,91,305,212,54,9,26,123,37,central,3
barakhamba road,2.4,major district road,857,0.393,582320,91,305,212,54,9,26,123,37,central,3
delhi gurgaon expressway,8.2,expressway,0,4.6,2543243,0,0,0,0,0,0,0,0,West,3
dnd flyway,13,major district road,0,13.3,1674714,0,0,0,0,0,0,0,0,gautam buddh,1
dr apj abdul kalam road,0.5,major district road,857,0.65,582320,91,305,212,54,9,26,123,37,central,3
eastern peripheral expressway,90.6,expressway,0,20.1,1674714,0,0,0,0,0,0,0,0,gautam buddh,3
faridabad-noida-ghaziabad expressway,6.1,expressway,0,4.8,1674714,0,0,0,0,0,0,0,0,gautam buddh,1
grand trunk road,0.141,major district road,2314,45,2241624,237,1047,492,171,46,47,224,50,north east,3
iit flyover,0.157,flyover,2762,4.2,2731929,280,627,595,150,39,0,406,665,south,0
inner ring road,9.2,major district road,2314,18.2,2241624,237,1047,492,171,46,47,224,50,north east,0
janpath road,1.2,major district road,857,0.7,582320,91,305,212,54,9,26,123,37,central,3
kashmiri gate,0.7,major district road,857,1.5,582320,91,305,212,54,9,26,123,37,central,3
lodhi road,3.5,major district road,857,1.1,582320,91,305,212,54,9,26,123,37,central,3
lok kalyan marg,1.6,major district road,857,2.5,582320,91,305,212,54,9,26,123,37,central,3
mathura road,3.2,major district road,2762,14.8,2731929,280,627,595,150,39,0,406,665,south,0
outer ring road,1.1,major district road,1684,4,3656539,165,663,404,109,23,61,208,51,north west,1
mansingh road,2,district road,857,2.5,582320,91,305,212,54,9,26,123,37,central,3
motilal nehru road,1.3,district road,857,2,582320,91,305,212,54,9,26,123,37,central,3
maulana azad road,0.202,district road,857,0.5,582320,91,305,212,54,9,26,123,37,central,3
krishna menon road,0.472,district road,2005,0.792,2292958,234,719,494,86,57,99,248,68,south west,1
tughlaq road,0.047,district road,857,0.23,582320,91,305,212,54,9,26,123,37,central,3
tees january marg,1.2,district road,857,1.4,582320,91,305,212,54,9,26,123,37,central,3
delhi ring road,2.1,Ring road,0,14.2,0,0,0,0,0,0,0,0,0,everywhere,3
shahjahan road,2.6,major district road,857,1.7,582320,91,305,212,54,9,26,123,37,central,3
humayun road,0.55,district road,857,0.4,582320,91,305,212,54,9,26,123,37,central,3
prithviraj road,1,major district road,857,1.6,582320,91,305,212,54,9,26,123,37,central,3
mustafa kemal ataturk marg,0.786,major district road,0,40,2731929,0,0,0,0,0,0,0,0,south,2
safdarjung road,1.6,major district road,857,1.6,582320,91,305,212,54,9,26,123,37,central,3
national highway 1,197,national highway,2762,600,2731929,280,627,595,150,39,0,406,665,south,3
national highway 2,600,national highway,2762,600,2731929,280,627,595,150,39,0,406,665,south,2
national highway 8,600,national highway,2005,600,2292958,234,719,494,86,57,99,248,68,south west,0
national highway 10,600,national highway,2005,600,2292958,234,719,494,86,57,99,248,68,south west,0
national highway 24,600,national highway,2005,600,2292958,234,719,494,86,57,99,248,68,south west,0
nizamuddin bridge,7.9,major district road,2762,6.9,2731929,280,627,595,150,39,0,406,665,south,0
ito flyover,0.55,flyover,857,2.4,582320,91,305,212,54,9,26,123,37,central,3
old hanuman mandir/ iron bridge/old delhi xing/ yamuna bazar bridge,0.593,district road,857,5.9,582320,91,305,212,54,9,26,123,37,central,3
isbt kashmere gate flyover,0.05,flyover,857,1.2,582320,91,305,212,54,9,26,123,37,central,3
azadpur bridge,1.9,major district road,1684,2.9,3656539,165,663,404,109,23,61,208,51,north west,1
wazirpur bridge,15,major district road,716,10.8,887978,60,279,180,42,12,16,109,18,north,0
madhuman chowk underpass,1.4,district road,2122,2.5,2543243,251,848,484,137,64,52,223,63,west,1
britannia chowk flyover,2.3,flyover,1684,7.2,3656539,165,663,404,109,23,61,208,51,north west,1
punjabi bagh flyover,3.6,flyover,2122,0.9,2543243,251,848,484,137,64,52,223,63,west,1
moti nagar flyover,3.5,flyover,1909,2.8,1709346,230,678,446,171,36,91,143,114,east,3
shivaji place district centre flyover,1.9,flyover,2122,24.8,2543243,251,848,484,137,64,52,223,63,west,2
mayapuri flyover,0.26,flyover,2122,4,2543243,251,848,484,137,64,52,223,63,west,1
kirti nagar flyover,0.056,flyover,2122,0.85,2543243,251,848,484,137,64,52,223,63,west,1
naraina bridge,5.7,district road,2005,5.6,2292958,234,719,494,86,57,99,248,68,south west,1
dhaula kuan,1.9,district road,2005,5.7,2292958,234,719,494,86,57,99,248,68,south west,1
motibagh flyover,1,flyover,193,5.6,142004,20,44,56,25,1,14,15,18,new delhi,1
africa avenue flyover,2,flyover,2005,0.1,2292958,234,719,494,86,57,99,248,68,south west,1
saronjini nagar flyover,0.1,flyover,2005,2.9,2292958,234,719,494,86,57,99,248,68,south west,1
aiims flyover complex,1,flyover,0,3,582320,0,0,0,0,0,0,0,0,centre,2
bhishm pitamah marg xing,1,major district road,857,4.8,582320,91,305,212,54,9,26,123,37,central,3
august kranti marg xing,2,major district road,2762,1.8,2731929,280,627,595,150,39,0,406,665,south,0
south extension xing,0.294,major district road,2762,1.3,2731929,280,627,595,150,39,0,406,665,south,0
moolchand flyover,2.2,flyover,2762,2.6,2731929,280,627,595,150,39,0,406,665,south,0
defence colony underpass,0.568,major district road,2762,2.9,2731929,280,627,595,150,39,0,406,665,south,0
lajpat nagar flyover,3.2,flyover,2762,5.2,2731929,280,627,595,150,39,0,406,665,south,0
nehru nagar bridge,1.3,district,2762,5.2,2731929,280,627,595,150,39,0,406,665,south,0
ajmal khan road,0.75,district,857,0.3,582320,91,305,212,54,9,26,123,37,central,3
amrita shergil marg,1.2,district,857,0.7,582320,91,305,212,54,9,26,123,37,central,3
